# Athena++ history data
# [1]=time     [2]=dt       [3]=mass     [4]=1-mom    [5]=2-mom    [6]=3-mom    [7]=1-KE     [8]=2-KE     [9]=3-KE     [10]=tot-E   
  1.90001e+01  6.84319e-04  1.30522e+00 -5.68864e-02  1.21440e+00  0.00000e+00  2.13892e-01  7.71052e-01  0.00000e+00  1.12315e+00
  1.95001e+01  6.83453e-04  1.26786e+00  6.15810e-02  1.17028e+00  0.00000e+00  2.07725e-01  7.28326e-01  0.00000e+00  1.07872e+00
  2.00002e+01  6.71099e-04  1.23268e+00  1.12996e-01  1.07397e+00  0.00000e+00  1.29775e-01  6.23422e-01  0.00000e+00  9.06090e-01
  2.05001e+01  6.90657e-04  1.20245e+00  5.53201e-02  9.87545e-01  0.00000e+00  6.38289e-02  5.28600e-01  0.00000e+00  7.47287e-01
  2.10002e+01  6.90028e-04  1.17926e+00 -6.19346e-02  9.75244e-01  0.00000e+00  6.02782e-02  5.19667e-01  0.00000e+00  7.25460e-01
  2.15000e+01  6.95076e-04  1.16319e+00 -1.31355e-01  1.06794e+00  0.00000e+00  1.25522e-01  6.50512e-01  0.00000e+00  9.10876e-01
  2.20000e+01  6.84780e-04  1.13445e+00 -2.90495e-02  1.11112e+00  0.00000e+00  1.91948e-01  7.19745e-01  0.00000e+00  1.03867e+00
  2.25003e+01  6.80805e-04  1.09992e+00  7.93908e-02  1.04137e+00  0.00000e+00  1.63466e-01  6.43875e-01  0.00000e+00  9.40281e-01
  2.30005e+01  6.78950e-04  1.07213e+00  9.89767e-02  9.52131e-01  0.00000e+00  8.85031e-02  5.43822e-01  0.00000e+00  7.73237e-01
  2.35002e+01  7.17884e-04  1.05029e+00  2.09458e-02  8.95746e-01  0.00000e+00  4.31878e-02  4.81355e-01  0.00000e+00  6.64676e-01
  2.40007e+01  6.67939e-04  1.03082e+00 -8.21900e-02  9.21498e-01  0.00000e+00  6.23964e-02  5.19976e-01  0.00000e+00  7.13700e-01
  2.45001e+01  6.65305e-04  1.01206e+00 -6.98996e-02  1.01041e+00  0.00000e+00  1.29054e-01  6.54672e-01  0.00000e+00  9.09059e-01
  2.50003e+01  6.70749e-04  9.91174e-01  6.09756e-02  9.99070e-01  0.00000e+00  1.54590e-01  6.49009e-01  0.00000e+00  9.34897e-01
  2.55005e+01  6.78300e-04  9.75382e-01  1.28704e-01  8.99775e-01  0.00000e+00  9.04447e-02  5.29789e-01  0.00000e+00  7.63789e-01
  2.60003e+01  6.92980e-04  9.54757e-01  5.31803e-02  8.10575e-01  0.00000e+00  2.99485e-02  4.26161e-01  0.00000e+00  6.00464e-01
  2.65003e+01  6.26703e-04  9.27615e-01 -8.02021e-02  8.22278e-01  0.00000e+00  5.32950e-02  4.55239e-01  0.00000e+00  6.42093e-01
  2.70003e+01  6.56980e-04  9.01289e-01 -6.50263e-02  9.32398e-01  0.00000e+00  1.38248e-01  6.32641e-01  0.00000e+00  8.99551e-01
  2.75002e+01  6.79831e-04  8.68713e-01  8.89985e-02  8.80180e-01  0.00000e+00  1.28969e-01  5.75745e-01  0.00000e+00  8.43848e-01
  2.80003e+01  6.61033e-04  8.54330e-01  1.00190e-01  7.76331e-01  0.00000e+00  4.87416e-02  4.41135e-01  0.00000e+00  6.42058e-01
  2.85004e+01  6.69874e-04  8.30372e-01 -9.60328e-03  7.41251e-01  0.00000e+00  3.19713e-02  4.09811e-01  0.00000e+00  5.87965e-01
  2.90001e+01  6.08301e-04  8.01148e-01 -5.95370e-02  8.16512e-01  0.00000e+00  8.55671e-02  5.36977e-01  0.00000e+00  7.62440e-01
  2.95002e+01  6.59984e-04  7.74054e-01  6.75198e-02  8.13446e-01  0.00000e+00  9.37320e-02  5.49732e-01  0.00000e+00  7.95649e-01
  3.00004e+01  6.50751e-04  7.60892e-01  6.97354e-02  7.17760e-01  0.00000e+00  3.26091e-02  4.16958e-01  0.00000e+00  6.14629e-01
  3.05003e+01  6.22539e-04  7.41574e-01 -1.53155e-02  7.19444e-01  0.00000e+00  4.02548e-02  4.40656e-01  0.00000e+00  6.35252e-01
  3.10006e+01  6.54324e-04  7.13427e-01  1.05987e-02  7.74953e-01  0.00000e+00  8.27106e-02  5.49163e-01  0.00000e+00  7.86080e-01
  3.15005e+01  6.35413e-04  6.88618e-01  7.18084e-02  6.98344e-01  0.00000e+00  4.43263e-02  4.43328e-01  0.00000e+00  6.52325e-01
  3.20006e+01  6.11531e-04  6.71200e-01  5.48568e-03  6.68670e-01  0.00000e+00  2.71004e-02  4.15661e-01  0.00000e+00  6.03664e-01
  3.25001e+01  6.56700e-04  6.47140e-01  8.14347e-03  7.15916e-01  0.00000e+00  6.00436e-02  5.10493e-01  0.00000e+00  7.30145e-01
  3.30004e+01  6.51064e-04  6.23738e-01  5.49765e-02  6.58643e-01  0.00000e+00  2.56424e-02  4.33212e-01  0.00000e+00  6.22044e-01
  3.35002e+01  6.03068e-04  6.06903e-01  6.00071e-03  6.46829e-01  0.00000e+00  2.27933e-02  4.32580e-01  0.00000e+00  6.14964e-01
  3.40002e+01  6.60788e-04  5.89569e-01  3.73530e-02  6.56548e-01  0.00000e+00  3.62394e-02  4.66326e-01  0.00000e+00  6.61106e-01
  3.45002e+01  6.88420e-04  5.69265e-01  2.22059e-02  6.10563e-01  0.00000e+00  1.15687e-02  4.06651e-01  0.00000e+00  5.75235e-01
  3.50004e+01  6.72452e-04  5.51095e-01  8.39110e-03  6.31456e-01  0.00000e+00  3.17610e-02  4.61066e-01  0.00000e+00  6.45186e-01
  3.55007e+01  6.81055e-04  5.35440e-01  3.48787e-02  5.90248e-01  0.00000e+00  1.16922e-02  4.03694e-01  0.00000e+00  5.69736e-01
